IDgroup,GroupMembers,Name_Last,Ocurrence_LastName,HomePlanet,CryoSleep,Destination,Age,VIP,ExpRS,ExpFC,ExpSM,ExpSpa,ExpVR,Cabin_Deck,Cabin_num,Cabin_isPort,ExpTotal,Exp_zero,Transported
44,3,Coopelandez,9.0,Earth,1.0,PSO,21,0.0,0,0,0,0,0,G,3,1.0,0,True,True
45,2,Chmad,7.0,Mars,0.0,Trappist,21,0.0,970,0,180,0,64,F,10,1.0,1214,False,False
45,2,Chmad,7.0,Mars,1.0,Trappist,19,0.0,0,0,0,0,0,F,10,1.0,0,True,True
50,1,Lancis,3.0,Earth,0.0,Cancri,35,0.0,790,0,0,133,0,E,1,0.0,923,False,False
51,1,Johnshines,6.0,Earth,0.0,Trappist,56,0.0,0,112,0,1379,127,E,2,0.0,1618,False,False
52,1,Hubbarton,8.0,Earth,0.0,Trappist,31,0.0,4,0,2,4683,0,G,6,0.0,4689,False,False
53,1,Hickerson,10.0,Earth,0.0,Trappist,25,0.0,0,0,1938,0,1,F,11,0.0,1939,False,True
56,3,Tractive,6.0,Europa,0.0,Trappist,2,0.0,0,0,0,0,0,A,1,0.0,0,True,True
56,3,Tractive,6.0,Europa,1.0,Trappist,38,0.0,0,0,0,0,0,A,1,0.0,0,True,True
56,3,Tractive,6.0,Europa,0.0,Trappist,27,0.0,279,605,3374,286,3,A,1,0.0,4547,False,True
58,1,Ayalazquez,6.0,Earth,1.0,PSO,36,0.0,0,0,0,0,0,G,7,0.0,0,True,False
61,1,Salez,5.0,Earth,0.0,Trappist,22,0.0,45,1096,148,1377,1,F,12,0.0,2667,False,False
62,1,Greeves,8.0,Earth,0.0,Trappist,62,0.0,0,592,0,17,25,F,13,0.0,634,False,False
64,2,,,Mars,1.0,Trappist,15,0.0,0,0,0,0,0,F,14,0.0,0,True,True
64,2,Keen,6.0,Mars,1.0,Trappist,33,0.0,0,0,0,0,0,E,3,0.0,0,True,True
66,1,Pecketton,5.0,Earth,0.0,Trappist,62,0.0,1,153,197,0,460,G,6,1.0,811,False,False
67,3,Leeves,9.0,Earth,1.0,PSO,0,0.0,0,0,0,0,0,G,10,0.0,0,True,True
67,3,Leeves,9.0,Earth,0.0,Trappist,18,0.0,1,258,446,0,0,G,10,0.0,705,False,True
67,3,Leeves,9.0,Earth,0.0,Cancri,21,0.0,1946,37,0,0,24,F,15,0.0,2007,False,False
68,1,Binie,3.0,Mars,0.0,Trappist,31,0.0,793,0,2,253,0,E,4,0.0,1048,False,False
69,1,,,Earth,0.0,Trappist,42,0.0,887,0,9,6,0,F,16,0.0,902,False,True
70,1,Brighttt,8.0,Earth,0.0,Trappist,19,0.0,190,0,5,1,726,F,13,1.0,922,False,False
71,1,Dillines,3.0,Earth,0.0,Trappist,17,0.0,16,2165,0,0,52,F,14,1.0,2233,False,False
72,1,Brantuarez,8.0,Earth,0.0,Trappist,14,0.0,0,1,0,0,1063,F,17,0.0,1064,False,False
73,1,Make,11.0,Mars,0.0,PSO,37,0.0,46,83,738,0,12,D,3,1.0,879,False,False
74,1,Mostedry,7.0,Europa,0.0,Trappist,42,0.0,1,8397,0,0,506,C,3,0.0,8904,False,True
76,1,Dal,11.0,Mars,0.0,Trappist,27,0.0,147,0,1018,0,0,F,18,0.0,1165,False,True
77,1,Blité,2.0,Mars,0.0,Trappist,28,0.0,14,0,1295,0,0,F,15,1.0,1309,False,True
78,1,Pokerheed,4.0,Europa,0.0,Trappist,38,0.0,0,5840,0,321,9654,C,4,0.0,15815,False,False
81,1,Vinozarks,9.0,Earth,1.0,Trappist,13,0.0,0,0,0,0,0,G,13,0.0,0,True,False
82,3,Datte,6.0,Mars,0.0,Trappist,42,0.0,7406,0,0,0,0,F,16,1.0,7406,False,False
82,3,Datte,6.0,Mars,1.0,Trappist,2,0.0,0,0,0,0,0,F,16,1.0,0,True,True
82,3,,,Mars,0.0,Trappist,8,0.0,0,0,0,0,0,F,16,1.0,0,True,True
84,1,Coopezmaney,6.0,Earth,0.0,Trappist,24,0.0,688,0,0,0,17,G,14,0.0,705,False,True
85,1,Ellcefulve,2.0,Europa,1.0,Trappist,40,0.0,0,0,0,0,0,C,5,0.0,0,True,True
86,1,Kinson,8.0,Earth,0.0,Trappist,43,0.0,211,0,0,638,513,F,17,1.0,1362,False,False
88,1,Sacre,5.0,Mars,1.0,PSO,45,0.0,0,0,0,0,0,E,5,0.0,0,True,True
90,1,Santry,11.0,Earth,1.0,Trappist,35,0.0,0,0,0,0,0,G,15,0.0,0,True,True
91,2,Yorkland,13.0,Earth,1.0,Trappist,26,0.0,0,0,0,0,0,G,16,0.0,0,True,True
91,2,Yorkland,13.0,Earth,0.0,Trappist,27,0.0,1,697,31,188,0,F,20,0.0,917,False,False
92,3,Dunnisey,5.0,Earth,0.0,Trappist,19,0.0,0,0,670,1,34,G,9,1.0,705,False,False
92,3,Hewson,10.0,Earth,1.0,Trappist,0,0.0,0,0,0,0,0,G,9,1.0,0,True,True
92,3,Hewson,10.0,Earth,1.0,Trappist,3,0.0,0,0,0,0,0,G,9,1.0,0,True,True
97,1,Fictful,5.0,Europa,0.0,Trappist,54,0.0,0,1208,0,3,637,A,2,0.0,1848,False,False
98,2,Carezquez,6.0,Earth,0.0,Trappist,26,0.0,0,856,5,32,0,G,11,1.0,893,False,False
98,2,Carezquez,6.0,Earth,0.0,Trappist,26,0.0,0,2811,957,0,87,G,11,1.0,3855,False,True
99,2,Leetersoney,3.0,Earth,0.0,PSO,23,0.0,311,427,526,37,0,F,19,1.0,1301,False,False
99,2,Connelson,4.0,Earth,1.0,Trappist,2,0.0,0,0,0,0,0,G,12,1.0,0,True,True
101,1,Trad,6.0,Mars,1.0,Trappist,31,0.0,0,0,0,0,0,E,295,0.0,0,True,True
102,1,Holson,5.0,Earth,0.0,Trappist,18,0.0,0,0,0,830,91,F,23,0.0,921,False,False
103,3,Mclainez,6.0,Earth,0.0,Trappist,24,0.0,0,441,0,0,17,F,24,0.0,458,False,True
103,3,Mclainez,6.0,Earth,1.0,Cancri,9,0.0,0,0,0,0,0,G,18,0.0,0,True,True
103,3,Mclainez,6.0,Earth,1.0,Trappist,6,0.0,0,0,0,0,0,G,18,0.0,0,True,False
105,1,Cleachrand,9.0,Earth,0.0,Trappist,27,0.0,0,0,570,2,131,F,21,1.0,703,False,False
107,1,Hart,4.0,Mars,0.0,Trappist,21,0.0,1743,5,17,0,0,D,2,0.0,1765,False,False
108,3,Handertiz,10.0,Earth,1.0,Trappist,23,0.0,0,0,0,0,0,G,19,0.0,0,True,False
108,3,,,Earth,0.0,Trappist,31,0.0,562,0,326,0,0,G,19,0.0,888,False,False
108,3,Handertiz,10.0,Earth,0.0,Trappist,0,0.0,0,0,0,0,0,G,19,0.0,0,True,True
110,4,Aloubtled,7.0,Europa,0.0,Trappist,32,0.0,0,410,6,3929,764,E,275,1.0,5109,False,False
110,4,Bootious,2.0,Europa,0.0,Trappist,40,0.0,0,331,0,0,1687,B,5,1.0,2018,False,False
110,4,Aloubtled,7.0,Europa,0.0,Trappist,42,0.0,2209,11418,0,1868,445,B,5,1.0,15940,False,True
110,4,Aloubtled,7.0,Europa,1.0,Trappist,28,0.0,0,0,0,0,0,B,5,1.0,0,True,True
111,1,Supred,6.0,Europa,1.0,Trappist,29,0.0,0,0,0,0,0,E,6,0.0,0,True,True
112,1,Cowtale,2.0,Europa,0.0,Cancri,48,1.0,0,2537,87,17,13,B,1,0.0,2654,False,True
113,1,Carvis,8.0,Earth,0.0,Trappist,64,0.0,0,0,804,0,0,F,23,1.0,804,False,True
114,1,Beckerson,7.0,Earth,0.0,Trappist,27,0.0,82,157,429,238,1,G,20,0.0,907,False,False
115,1,Pead,5.0,Mars,0.0,Trappist,26,0.0,0,0,0,0,565,F,24,1.0,565,False,True
116,1,Suptive,2.0,Europa,0.0,Trappist,33,0.0,1,2223,0,12,404,D,4,1.0,2640,False,True
119,2,Coning,5.0,Europa,0.0,Trappist,39,0.0,0,2344,0,65,6898,A,0,1.0,9307,False,False
119,2,Coning,5.0,Europa,1.0,Trappist,13,0.0,0,0,0,0,0,A,0,1.0,0,True,True
120,1,Sacre,5.0,Mars,1.0,Trappist,24,0.0,0,0,0,0,0,F,25,1.0,0,True,True
122,1,Hayder,10.0,Earth,0.0,Trappist,29,0.0,0,0,0,699,74,G,21,0.0,773,False,False
123,1,Fielson,9.0,Earth,0.0,Trappist,18,0.0,55,597,49,0,1,F,27,1.0,702,False,False
126,1,Mish,3.0,Mars,1.0,Trappist,67,0.0,0,0,0,0,0,F,27,0.0,0,True,True
127,1,Mesty,3.0,Mars,0.0,Trappist,35,0.0,701,0,296,0,25,E,7,0.0,1022,False,False
128,2,Fles,3.0,Mars,0.0,Trappist,61,1.0,2353,334,9,316,2,D,3,0.0,3014,False,False
128,2,Fles,3.0,Mars,0.0,Trappist,45,0.0,2103,6,0,0,0,E,8,0.0,2109,False,False
129,1,Fowles,7.0,Earth,1.0,PSO,22,0.0,0,0,0,0,0,G,22,0.0,0,True,True
133,2,Blie,7.0,Mars,1.0,Trappist,19,0.0,0,0,0,0,0,F,29,0.0,0,True,True
133,2,Blie,7.0,Mars,0.0,Trappist,36,0.0,2738,0,0,0,0,D,5,0.0,2738,False,False
134,1,Harmontry,6.0,Earth,0.0,Trappist,19,0.0,0,14,730,0,0,G,17,1.0,744,False,True
136,1,,,Earth,0.0,PSO,47,0.0,97,418,126,25,55,G,23,0.0,721,False,False
138,2,Gambs,6.0,Earth,1.0,Trappist,13,0.0,0,0,0,0,0,G,18,1.0,0,True,True
138,2,Gambs,6.0,Earth,0.0,Trappist,34,0.0,0,22,0,564,207,E,5,1.0,793,False,False
139,1,Myling,9.0,Europa,1.0,Cancri,35,0.0,0,0,0,0,0,C,6,0.0,0,True,True
140,2,Mejiaddox,9.0,Earth,1.0,Trappist,24,0.0,0,0,0,0,0,G,19,1.0,0,True,True
140,2,Whitakers,5.0,Earth,0.0,Trappist,26,0.0,440,0,0,0,462,F,29,1.0,902,False,False
141,1,Harte,3.0,Mars,0.0,Trappist,31,0.0,1380,0,97,0,0,F,30,1.0,1477,False,False
144,1,Dayers,6.0,Earth,0.0,Trappist,20,0.0,0,420,210,0,0,F,31,0.0,630,False,True
146,1,Wolferguson,12.0,Earth,0.0,Trappist,56,0.0,0,0,0,0,0,G,25,0.0,0,True,False
147,1,Hubbarrison,9.0,Earth,1.0,Trappist,50,0.0,0,0,0,0,0,G,26,0.0,0,True,True
148,1,Pashe,7.0,Mars,0.0,Trappist,42,0.0,1072,0,10,0,76,F,31,1.0,1158,False,False
149,1,Hubbarrison,9.0,Earth,1.0,Cancri,22,0.0,0,0,0,0,0,G,27,0.0,0,True,True
151,1,Simson,10.0,Earth,1.0,Cancri,38,0.0,0,0,0,0,0,G,20,1.0,0,True,False
152,1,Estron,6.0,Earth,0.0,Trappist,41,0.0,0,0,0,0,607,F,32,1.0,607,False,False
160,1,Atkinney,5.0,Earth,0.0,Trappist,22,0.0,4119,0,0,0,61,G,22,1.0,4180,False,False
163,2,Hetforhaft,6.0,Europa,1.0,Trappist,26,0.0,0,0,0,0,0,B,8,1.0,0,True,True
163,2,Hetforhaft,6.0,Europa,1.0,Trappist,17,0.0,0,0,0,0,0,B,8,1.0,0,True,True
164,2,Hutchinton,6.0,Earth,0.0,Trappist,57,0.0,50,1688,0,0,135,G,28,0.0,1873,False,True
164,2,Hutchinton,6.0,Earth,1.0,PSO,17,0.0,0,0,0,0,0,G,28,0.0,0,True,False
165,1,Anche,3.0,Mars,1.0,Trappist,35,0.0,0,0,0,0,0,F,37,1.0,0,True,True
167,2,Floaf,8.0,Mars,1.0,Trappist,13,0.0,0,0,0,0,0,F,35,0.0,0,True,True
167,2,Floaf,8.0,Mars,0.0,Trappist,27,0.0,1365,0,48,22,137,F,35,0.0,1572,False,False
169,1,Fisherry,7.0,Earth,1.0,Trappist,31,0.0,0,0,0,0,0,G,23,1.0,0,True,False
170,1,Mcmahoney,5.0,Earth,0.0,Trappist,24,0.0,0,0,0,221,567,E,10,0.0,788,False,False
171,1,Gordanieves,11.0,Earth,1.0,PSO,19,0.0,0,0,0,0,0,G,30,0.0,0,True,True
172,1,Johnshines,6.0,Earth,1.0,Trappist,32,0.0,0,0,0,0,0,G,24,1.0,0,True,True
173,1,Grifford,4.0,Earth,0.0,Trappist,58,0.0,0,985,0,5,0,E,11,0.0,990,False,True
174,1,Lambles,8.0,Earth,0.0,Cancri,21,0.0,287,0,16,115,175,F,38,1.0,593,False,False
177,1,Iniouser,4.0,Europa,0.0,Trappist,38,0.0,0,10346,1,14970,2111,B,2,0.0,27428,False,False
178,1,Knik,7.0,Mars,0.0,Trappist,38,0.0,3414,0,161,28,119,D,6,0.0,3722,False,False
179,3,Webstephrey,10.0,Earth,0.0,Trappist,19,0.0,1,219,673,2,11,G,26,1.0,906,False,True
179,3,Webstephrey,10.0,Earth,0.0,Trappist,0,0.0,0,0,0,0,0,G,26,1.0,0,True,False
179,3,Webstephrey,10.0,Earth,0.0,Trappist,3,0.0,0,0,0,0,0,G,26,1.0,0,True,True
181,1,Brighttt,8.0,Earth,0.0,Trappist,20,0.0,0,0,3,299,92,G,27,1.0,394,False,False
182,1,Disight,2.0,Europa,1.0,Trappist,24,0.0,0,0,0,0,0,C,3,1.0,0,True,True
183,1,Weaves,9.0,Earth,0.0,Trappist,37,0.0,17,146,426,0,232,F,36,0.0,821,False,True
186,1,Shephendry,8.0,Earth,0.0,Trappist,25,0.0,62,0,0,0,956,G,28,1.0,1018,False,False
188,1,Romez,5.0,Earth,1.0,Trappist,56,0.0,0,0,0,0,0,G,31,0.0,0,True,True
189,1,Booters,4.0,Earth,0.0,Cancri,49,0.0,84,3,401,202,98,E,8,1.0,788,False,False
190,1,,,Earth,1.0,Cancri,11,0.0,0,0,0,0,0,G,32,0.0,0,True,False
192,3,Adavisons,10.0,Earth,1.0,Trappist,1,0.0,0,0,0,0,0,G,29,1.0,0,True,True
192,3,Adavisons,10.0,Earth,0.0,Trappist,8,0.0,0,0,0,0,0,G,29,1.0,0,True,False
192,3,Adavisons,10.0,Earth,0.0,Trappist,39,0.0,0,0,10,898,0,G,29,1.0,908,False,False
193,3,Raf,5.0,Mars,1.0,Trappist,2,0.0,0,0,0,0,0,F,41,1.0,0,True,True
193,3,Raf,5.0,Mars,0.0,Trappist,23,0.0,643,0,8,1072,0,F,41,1.0,1723,False,False
193,3,Raf,5.0,Mars,0.0,Trappist,0,0.0,0,0,0,0,0,F,41,1.0,0,True,True
195,1,Floaf,8.0,Mars,0.0,Trappist,39,0.0,406,0,867,0,0,F,42,1.0,1273,False,True
196,1,Emead,9.0,Mars,0.0,PSO,25,0.0,1052,0,719,0,7,D,5,1.0,1778,False,False
197,1,Dissper,4.0,Europa,0.0,Trappist,36,0.0,0,972,0,795,575,C,5,1.0,2342,False,False
198,1,Cookson,8.0,Earth,1.0,PSO,52,0.0,0,0,0,0,0,G,30,1.0,0,True,True
199,1,Morrows,6.0,Earth,1.0,Trappist,18,0.0,0,0,0,0,0,G,33,0.0,0,True,False
200,1,Colomonson,10.0,Earth,1.0,Trappist,15,0.0,0,0,0,0,0,G,31,1.0,0,True,True
201,2,Bacistion,6.0,Europa,1.0,Trappist,35,0.0,0,0,0,0,0,B,3,0.0,0,True,True
201,2,Bacistion,6.0,Europa,1.0,Trappist,47,0.0,0,0,0,0,0,B,3,0.0,0,True,True
202,2,Embleng,7.0,Europa,1.0,Cancri,45,0.0,0,0,0,0,0,B,9,1.0,0,True,True
202,2,Embleng,7.0,Europa,0.0,Cancri,35,0.0,0,2433,702,878,443,A,2,1.0,4456,False,True
203,1,Heateele,1.0,Europa,1.0,Trappist,51,0.0,0,0,0,0,0,C,8,0.0,0,True,True
205,1,Oneiles,16.0,Earth,0.0,Trappist,29,0.0,0,2,66,0,705,G,34,0.0,773,False,False
206,1,Brugashed,2.0,Europa,0.0,Cancri,35,0.0,2,1720,12,1125,122,C,9,0.0,2981,False,True
207,1,Mcfaddennon,7.0,Earth,1.0,PSO,19,0.0,0,0,0,0,0,G,32,1.0,0,True,False
210,1,Inicont,3.0,Europa,1.0,Cancri,24,0.0,0,0,0,0,0,D,6,1.0,0,True,True
211,3,Appie,2.0,Mars,0.0,Trappist,29,0.0,902,1,137,0,0,F,44,1.0,1040,False,True
211,3,Appie,2.0,Mars,1.0,Trappist,11,0.0,0,0,0,0,0,F,44,1.0,0,True,True
211,3,Date,6.0,Mars,0.0,Trappist,17,0.0,848,0,307,182,0,F,44,1.0,1337,False,False
212,2,Workmans,9.0,Earth,0.0,Trappist,13,0.0,192,0,0,51,739,E,9,1.0,982,False,False
212,2,Workmans,9.0,Earth,0.0,Trappist,35,0.0,147,188,0,10,387,F,45,1.0,732,False,False
213,1,Navages,12.0,Earth,0.0,Trappist,21,0.0,367,281,0,0,146,F,46,1.0,794,False,False
216,1,Garnes,15.0,Earth,0.0,Cancri,21,0.0,0,56,0,0,1918,F,40,0.0,1974,False,False
217,1,Shieldson,10.0,Earth,0.0,Trappist,38,0.0,1517,0,0,27,0,F,47,1.0,1544,False,False
219,1,River,15.0,Earth,1.0,Trappist,19,0.0,0,0,0,0,0,G,36,1.0,0,True,True
220,7,Wilsoney,12.0,Earth,1.0,Trappist,2,0.0,0,0,0,0,0,G,37,1.0,0,True,True
220,7,Wilsoney,12.0,Earth,0.0,Trappist,0,0.0,0,0,0,0,0,G,37,1.0,0,True,True
220,7,Wilsoney,12.0,Earth,1.0,Trappist,13,0.0,0,0,0,0,0,G,37,1.0,0,True,False
220,7,Wilsoney,12.0,Earth,0.0,Trappist,25,0.0,122,84,607,0,0,E,10,1.0,813,False,False
220,7,Wilsoney,12.0,Earth,0.0,Trappist,16,0.0,0,3,0,0,1099,F,48,1.0,1102,False,False
220,7,Wilsoney,12.0,Earth,0.0,Cancri,1,0.0,0,0,0,0,0,G,37,1.0,0,True,False
220,7,Wilsoney,12.0,Earth,1.0,Trappist,15,0.0,0,0,0,0,0,G,37,1.0,0,True,True
221,7,Blan,7.0,Mars,0.0,Cancri,21,0.0,2237,0,119,0,0,E,13,0.0,2356,False,False
221,7,Reke,10.0,Mars,0.0,Trappist,23,0.0,1215,80,1,2,0,E,13,0.0,1298,False,False
221,7,Reke,10.0,Mars,0.0,Trappist,33,0.0,1933,12,188,1,0,E,13,0.0,2134,False,False
221,7,Reke,10.0,Mars,1.0,Trappist,21,0.0,0,0,0,0,0,E,13,0.0,0,True,True
221,7,Reke,10.0,Mars,0.0,Trappist,41,0.0,1230,0,301,43,1023,E,13,0.0,2597,False,False
221,7,Reke,10.0,Mars,0.0,Trappist,16,0.0,915,0,221,234,0,E,13,0.0,1370,False,False
221,7,Reke,10.0,Mars,1.0,Trappist,42,0.0,0,0,0,0,0,E,13,0.0,0,True,False
222,3,Perte,5.0,Mars,0.0,Trappist,20,0.0,1406,0,0,11,0,F,41,0.0,1417,False,False
222,3,Deva,5.0,Mars,1.0,Trappist,24,0.0,0,0,0,0,0,F,41,0.0,0,True,True
222,3,Perte,5.0,Mars,1.0,Trappist,16,0.0,0,0,0,0,0,E,14,0.0,0,True,True
223,1,Sykess,8.0,Earth,0.0,Trappist,21,0.0,0,2,665,0,9,G,35,0.0,676,False,False
224,1,Queen,4.0,Mars,0.0,Trappist,32,1.0,181,0,5,1634,0,F,42,0.0,1820,False,False
225,1,Hortis,9.0,Earth,1.0,PSO,58,0.0,0,0,0,0,0,G,38,1.0,0,True,True
229,1,Sellahaney,10.0,Earth,0.0,Trappist,24,0.0,4,7,0,713,79,F,43,0.0,803,False,False
231,1,Nate,8.0,Mars,0.0,Trappist,30,0.0,85,0,1,1720,0,F,44,0.0,1806,False,False
232,1,Bakerrison,6.0,Earth,1.0,PSO,27,0.0,0,0,0,0,0,G,36,0.0,0,True,False
233,1,Wist,5.0,Mars,0.0,Trappist,32,0.0,56,0,256,1438,0,F,45,0.0,1750,False,False
234,1,Josey,12.0,Earth,0.0,Trappist,43,0.0,159,888,0,0,0,F,50,1.0,1047,False,False
237,1,Aginge,4.0,Europa,1.0,Trappist,42,0.0,0,0,0,0,0,B,11,1.0,0,True,True
239,1,Resty,3.0,Mars,0.0,Trappist,37,0.0,637,0,0,92,319,F,922,0.0,1048,False,False
240,1,Crie,2.0,Mars,1.0,Trappist,35,0.0,0,0,0,0,0,F,52,1.0,0,True,True
241,1,Dischod,6.0,Europa,0.0,Cancri,33,0.0,0,1249,0,4812,1116,E,11,1.0,7177,False,False
242,1,Sté,3.0,Mars,0.0,Trappist,18,0.0,313,1,691,283,0,F,46,0.0,1288,False,False
243,1,Cartyernan,13.0,Earth,1.0,Trappist,21,0.0,0,0,0,0,0,G,37,0.0,0,True,False
244,2,Sad,6.0,Mars,1.0,Trappist,43,0.0,0,0,0,0,0,E,297,0.0,0,True,True
244,2,Sad,6.0,Mars,1.0,Cancri,14,0.0,0,0,0,0,0,F,47,0.0,0,True,True
245,2,Repumparte,3.0,Europa,0.0,Cancri,46,0.0,0,3571,0,0,7,C,6,1.0,3578,False,True
245,2,Repumparte,3.0,Europa,0.0,Trappist,33,0.0,0,86,796,584,10912,C,6,1.0,12378,False,False
246,1,Sesa,5.0,Mars,0.0,Trappist,21,0.0,2947,0,287,27,0,D,8,1.0,3261,False,False
248,1,Spanxibus,1.0,Europa,0.0,Trappist,33,0.0,0,1,0,8620,1063,C,10,0.0,9684,False,False
250,1,Kramosley,10.0,Earth,1.0,PSO,47,0.0,0,0,0,0,0,G,38,0.0,0,True,False
251,1,Amsive,1.0,Europa,1.0,Cancri,54,0.0,0,0,0,0,0,C,11,0.0,0,True,True
252,1,Byerry,7.0,Earth,0.0,Trappist,30,0.0,335,695,541,0,0,F,53,1.0,1571,False,False
253,1,Cardner,10.0,Earth,0.0,Trappist,29,0.0,272,615,0,0,1,G,42,1.0,888,False,False
254,1,Stenson,5.0,Earth,0.0,Trappist,21,0.0,702,172,408,2,6,F,54,1.0,1290,False,True
255,1,Mingious,1.0,Europa,1.0,Trappist,24,0.0,0,0,0,0,0,A,3,0.0,0,True,True
257,2,Berte,7.0,Mars,0.0,Cancri,21,0.0,1664,0,490,0,0,F,49,0.0,2154,False,False
257,2,Berte,7.0,Mars,1.0,Trappist,60,0.0,0,0,0,0,0,F,49,0.0,0,True,True
